Item	Cat	Label	Type	InchWidth	InchHeight	InchDepth	MetricWidth	MetricHeight	MetricDepth	Density	Color	Material	Description	PieceWeight	UnitQty	Price	Q1	D1	Q2	D2	Q3	D3	Q4	D4	Q5	D5	Q6	D6
P5416	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Passion Pink	Paper	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
P5414	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Pimary Purple	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5314	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Primary Purple	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5214	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Primary Purple	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5114	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Primary Purple	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.011	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5014	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Primary Purple	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0128	50	0.105	100	5	250	10	500	15	750	20	1000	25		
E5210	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Pumpkin Orange	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5110	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Pumpkin Orange	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.011	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5010	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Pumpkin Orange	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5410	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Pumpkin Orange	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5304	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Sandy Tan	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5204	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Sandy Tan	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5104	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Sandy Tan	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.011	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5004	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Sandy Tan	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5404	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Sandy Tan	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5307	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Sky Blue	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5207	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Sky Blue	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5107	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Sky Blue	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.011	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5007	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Sky Blue	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
E5311	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Sunshine Yellow	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5211	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Sunshine Yellow	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5111	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Sunshine Yellow	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5011	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Sunshine Yellow	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5411	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Sunshine Yellow	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5317	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Tangerine Orange	Paper	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5217	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Tangerine Orange	Paper	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5117	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Tangerine Orange	Paper	Astrobright Envelopes	0.01	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5017	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Tangerine Orange	Paper	Astrobright Envelopes	0.1	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5417	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Tangerine Orange	Paper	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5313	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	True Blue	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5213	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	True Blue	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5113	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	True Blue	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5013	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	True Blue	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5413	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	True Blue	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5301	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	White Wove	Paper	Astrobright Envelopes	0.006	50	0.041	100	5	250	10	500	15	750	20	1000	25		
PC215	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Black	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2275	250	32	500	33	750	34	1000	35				
EC215	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Black	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1639	250	32	500	33	750	34	1000	35				
PC015	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Black	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3451	250	32	500	33	750	34	1000	35				
EC015	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Black	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2332	250	32	500	33	750	34	1000	35				
PC217	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Blue	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2275	250	32	500	33	750	34	1000	35				
EC217	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Blue	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1639	250	32	500	33	750	34	1000	35				
PC017	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Blue	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3451	250	32	500	33	750	34	1000	35				
EC017	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Blue	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2332	250	32	500	33	750	34	1000	35				
PC212	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Brown	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2275	250	32	500	33	750	34	1000	35				
EC212	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Brown	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1639	250	32	500	33	750	34	1000	35				
PC012	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Brown	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3451	250	32	500	33	750	34	1000	35				
EC012	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Brown	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2332	250	32	500	33	750	34	1000	35				
PC213	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Burgandy	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2275	250	32	500	33	750	34	1000	35				
EC213	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Burgandy	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1639	250	32	500	33	750	34	1000	35				
PC013	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Burgandy	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3451	250	32	500	33	750	34	1000	35				
EC013	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Burgandy	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2332	250	32	500	33	750	34	1000	35				
PC220	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Dark Blue	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2275	250	32	500	33	750	34	1000	35				
EC220	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Dark Blue	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1639	250	32	500	33	750	34	1000	35				
PC020	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Dark Blue	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3451	250	32	500	33	750	34	1000	35				
EC020	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Dark Blue	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2332	250	32	500	33	750	34	1000	35				
PC216	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Dark Purple	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2275	250	32	500	33	750	34	1000	35				
EC216	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Dark Purple	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1639	250	32	500	33	750	34	1000	35				
PC016	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Dark Purple	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3451	250	32	500	33	750	34	1000	35				
EC016	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Dark Purple	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2332	250	32	500	33	750	34	1000	35				
PC207	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Gold	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2173	250	32	500	33	750	34	1000	35				
EC207	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Gold	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1528	250	32	500	33	750	34	1000	35				
PC007	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Gold	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3243	250	32	500	33	750	34	1000	35				
EC007	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Gold	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2159	250	32	500	33	750	34	1000	35				
PC211	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Golden Green	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2173	250	32	500	33	750	34	1000	35				
EC211	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Golden Green	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1528	250	32	500	33	750	34	1000	35				
PC011	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Golden Green	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3243	250	32	500	33	750	34	1000	35				
EC011	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Golden Green	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2159	250	32	500	33	750	34	1000	35				
PC214	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Gray	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2275	250	32	500	33	750	34	1000	35				
EC214	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Gray	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1639	250	32	500	33	750	34	1000	35				
PC014	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Gray	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3451	250	32	500	33	750	34	1000	35				
EC014	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Gray	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2332	250	32	500	33	750	34	1000	35				
PC219	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Green	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2275	250	32	500	33	750	34	1000	35				
EC219	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Green	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1639	250	32	500	33	750	34	1000	35				
PC019	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Green	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3451	250	32	500	33	750	34	1000	35				
EC019	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Green	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2332	250	32	500	33	750	34	1000	35				
PC203	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Light Blue	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2173	250	32	500	33	750	34	1000	35				
EC203	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Light Blue	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1528	250	32	500	33	750	34	1000	35				
PC003	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Light Blue	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3243	250	32	500	33	750	34	1000	35				
EC003	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Light Blue	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2159	250	32	500	33	750	34	1000	35				
PC210	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Light Gray	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2173	250	32	500	33	750	34	1000	35				
EC210	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Light Gray	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1528	250	32	500	33	750	34	1000	35				
PC010	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Light Gray	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3243	250	32	500	33	750	34	1000	35				
EC010	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Light Gray	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2159	250	32	500	33	750	34	1000	35				
PC205	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Light Green	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2173	250	32	500	33	750	34	1000	35				
EC205	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Light Green	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1528	250	32	500	33	750	34	1000	35				
PC005	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Light Green	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3243	250	32	500	33	750	34	1000	35				
EC005	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Light Green	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2159	250	32	500	33	750	34	1000	35				
PC206	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Light Yellow	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2173	250	32	500	33	750	34	1000	35				
EC206	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Light Yellow	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1528	250	32	500	33	750	34	1000	35				
PC006	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Light Yellow	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3243	250	32	500	33	750	34	1000	35				
EC006	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Light Yellow	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2159	250	32	500	33	750	34	1000	35				
PC208	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Magenta	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2173	250	32	500	33	750	34	1000	35				
EC208	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Magenta	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1528	250	32	500	33	750	34	1000	35				
PC008	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Magenta	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3243	250	32	500	33	750	34	1000	35				
EC008	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Magenta	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2159	250	32	500	33	750	34	1000	35				
PC202	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Natural	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2069	250	32	500	33	750	34	1000	35				
EC202	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Natural	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1413	250	32	500	33	750	34	1000	35				
PC002	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Natural	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3027	250	32	500	33	750	34	1000	35				
EC002	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Natural	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.198	250	32	500	33	750	34	1000	35				
PC209	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Orange	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2173	250	32	500	33	750	34	1000	35				
EC209	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Orange	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1528	250	32	500	33	750	34	1000	35				
PC009	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Orange	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3243	250	32	500	33	750	34	1000	35				
EC009	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Orange	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2159	250	32	500	33	750	34	1000	35				
PC204	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Pink	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2173	250	32	500	33	750	34	1000	35				
EC204	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Pink	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1528	250	32	500	33	750	34	1000	35				
PC004	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Pink	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3243	250	32	500	33	750	34	1000	35				
EC004	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Pink	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2159	250	32	500	33	750	34	1000	35				
PC218	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Red	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2275	250	32	500	33	750	34	1000	35				
EC218	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Red	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1639	250	32	500	33	750	34	1000	35				
PC018	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	Red	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3451	250	32	500	33	750	34	1000	35				
EC018	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Red	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.2332	250	32	500	33	750	34	1000	35				
PC201	BASI	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	White	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.015	50	0.2069	250	32	500	33	750	34	1000	35				
EC201	BASI	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	White	Produced from Sustainable Forests	Basis Envelopes	0.01	50	0.1413	250	32	500	33	750	34	1000	35				
PC001	BASI	FOR	A7 or Lee	7	5		178	127		80# Cover	White	Produced from Sustainable Forests	Basis Plain Scored Blank Cards	0.02	50	0.3027	250	32	500	33	750	34	1000	35				
EC001	BASI	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	White	Produced from Sustainable Forests	Basis Envelopes	0.015	50	0.198	250	32	500	33	750	34	1000	35				
PE208	EALE	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Athens Gray	Leather Finish	Eastern Metallic Scored Blank Cards	0.0174	50	0.09	250	4	500	8	750	12	1000	16				
EE208	EALE	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Athens Grey	Leather Finish	Eastern Metallic Envelopes	0.0108	50	0.08	250	5	500	15	750	25	1000	35				
PE108	EALE	FOR	A6	6 1/4	4 5/8		159	117		80# Cover	Athens Gray	Leather Finish	Eastern Metallic Scored Blank Cards	0.0213	50	0.11	250	4	500	8	750	12	1000	16				
EE108	EALE	SIZE	A6	6 1/2	4 3/4		165	121		70# Text	Athens Grey	Leather Finish	Eastern Metallic Envelopes	0.013	50	0.08	250	5	500	15	750	25	1000	35				
PE008	EALE	FOR	A7	7	5		178	127		80# Cover	Athens Gray	Leather Finish	Eastern Metallic Scored Blank Cards	0.0254	50	0.13	250	4	500	8	750	12	1000	16				
EE008	EALE	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Athens Grey	Leather Finish	Eastern Metallic Envelopes	0.0166	50	0.08	250	5	500	15	750	25	1000	35				
PE211	EALE	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Blueberry	Leather Finish	Eastern Metallic Scored Blank Cards	0.0174	50	0.09	250	4	500	8	750	12	1000	16				
EE211	EALE	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Blueberry	Leather Finish	Eastern Metallic Envelopes	0.0108	50	0.08	250	5	500	15	750	25	1000	35				
PE111	EALE	FOR	A6	6 1/4	4 5/8		159	117		80# Cover	Blueberry	Leather Finish	Eastern Metallic Scored Blank Cards	0.0213	50	0.11	250	4	500	8	750	12	1000	16				
EE111	EALE	SIZE	A6	6 1/2	4 3/4		165	121		70# Text	Blueberry	Leather Finish	Eastern Metallic Envelopes	0.013	50	0.08	250	5	500	15	750	25	1000	35				
PE011	EALE	FOR	A7	7	5		178	127		80# Cover	Blueberry	Leather Finish	Eastern Metallic Scored Blank Cards	0.0254	50	0.13	250	4	500	8	750	12	1000	16				
EE011	EALE	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Blueberry	Leather Finish	Eastern Metallic Envelopes	0.0166	50	0.08	250	5	500	15	750	25	1000	35				
PE203	EALE	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Bronze	Leather Finish	Eastern Metallic Scored Blank Cards	0.0174	50	0.09	250	4	500	8	750	12	1000	16				
EE203	EALE	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Bronze	Leather Finish	Eastern Metallic Envelopes		50	0.08	250	5	500	15	750	25	1000	35				
PE103	EALE	FOR	A6	6 1/4	4 5/8		159	117		80# Cover	Bronze	Leather Finish	Eastern Metallic Scored Blank Cards	0.0213	50	0.11	250	4	500	8	750	12	1000	16				
EE103	EALE	SIZE	A6	6 1/2	4 3/4		165	121		70# Text	Bronze	Leather Finish	Eastern Metallic Envelopes	0.013	50	0.08	250	5	500	15	750	25	1000	35				
PE003	EALE	FOR	A7	7	5		178	127		80# Cover	Bronze	Leather Finish	Eastern Metallic Scored Blank Cards	0.0254	50	0.13	250	4	500	8	750	12	1000	16				
EE003	EALE	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Bronze	Leather Finish	Eastern Metallic Envelopes	0.0166	50	0.08	250	5	500	15	750	25	1000	35				
PE201	EALE	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Champagne	Leather Finish	Eastern Metallic Scored Blank Cards	0.0174	50	0.09	250	4	500	8	750	12	1000	16				
EE201	EALE	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Champagne	Leather Finish	Eastern Metallic Envelopes		50	0.08	250	5	500	15	750	25	1000	35				
PE101	EALE	FOR	A6	6 1/4	4 5/8		159	117		80# Cover	Champagne	Leather Finish	Eastern Metallic Scored Blank Cards	0.0213	50	0.11	250	4	500	8	750	12	1000	16				
EE101	EALE	SIZE	A6	6 1/2	4 3/4		165	121		70# Text	Champagne	Leather Finish	Eastern Metallic Envelopes	0.013	50	0.08	250	5	500	15	750	25	1000	35				
PE001	EALE	FOR	A7	7	5		178	127		80# Cover	Champagne	Leather Finish	Eastern Metallic Scored Blank Cards	0.0254	50	0.13	250	4	500	8	750	12	1000	16				
EE001	EALE	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Champagne	Leather Finish	Eastern Metallic Envelopes	0.0166	50	0.08	250	5	500	15	750	25	1000	35				
PE209	EALE	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Gold Luster	Leather Finish	Eastern Metallic Scored Blank Cards	0.0174	50	0.09	250	4	500	8	750	12	1000	16				
